case,content_path,reference_path,content_family,reference_family,label_source,seed_count,baseline_takeover_median,baseline_takeover_max,style_at_02_median,style_at_10_median,style_gain_median,incremental_takeover_max_median,incremental_nonzero_interval_count,late_escalation_frequency,style_valid_rate,label_status,style_valid,style_gain_if_valid,baseline_takeover_02,incremental_takeover_max,incremental_nonzero_count,late_escalation,profile_label,content_canny_density,content_lsd_line_density,content_lsd_length_mean,content_lsd_length_p90,content_lsd_orientation_entropy,content_lsd_orientation_max_share,reference_canny_density,reference_minus_content_canny_density,reference_div_content_canny_density,reference_lsd_line_density,reference_minus_content_lsd_line_density,reference_div_content_lsd_line_density,reference_lsd_length_mean,reference_minus_content_lsd_length_mean,reference_div_content_lsd_length_mean,reference_lsd_length_p90,reference_minus_content_lsd_length_p90,reference_div_content_lsd_length_p90,reference_lsd_orientation_entropy,reference_minus_content_lsd_orientation_entropy,reference_div_content_lsd_orientation_entropy,reference_lsd_orientation_max_share,reference_minus_content_lsd_orientation_max_share,reference_div_content_lsd_orientation_max_share,lab_mean_distance,lab_std_distance,contrast_abs_difference,log_laplacian_variance_ratio,high_frequency_abs_difference,color_histogram_distance,orientation_distribution_js,rgb_patch_nearest_cosine_mean,rgb_patch_nearest_cosine_p10,rgb_patch_mutual_nearest_fraction,clip_global_cosine,clip_patch_nearest_mean,clip_patch_nearest_p10,clip_patch_mutual_nearest_fraction,dino_global_cosine,dino_patch_nearest_mean,dino_patch_nearest_p10,dino_patch_mutual_nearest_fraction,feature_source,seed_scope,generation
v1_5_demuth_church,data/raw/_photo_ref/photo_lecreusois_church.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,church,demuth,v2.2a seed42,1,1.0,1.0,0.0,4.0,4.0,1.0,3.0,1.0,1.0,seed42_only,1,4.0,1.0,1.0,3.0,1.0,P3_moderate_susceptibility_high_response,0.10466384887695312,0.03356057405471802,11.235891342163086,17.525436782836916,0.9309565189368969,0.14679699419317385,0.0579376220703125,-0.046726226806640625,0.5535590625797281,0.05479323863983154,0.021232664585113525,1.6326669070229622,26.948816299438477,15.71292495727539,2.3984582512214296,51.824259185791014,34.2988224029541,2.957088021711605,0.8991099094142958,-0.0318466095226011,0.9657915177832707,0.163031348567863,0.016234354374689147,1.1105905094577477,26.322316228468836,21.060939104823714,16.929885864257812,0.13656880448580333,0.0014554412445306197,0.4844159483909607,0.03733707338683281,0.9892793893814087,0.9804210066795349,0.0625,0.18293699622154236,0.5137433409690857,0.41362588107585907,0.0703125,-0.00474928505718708,0.3119487166404724,0.18269822746515274,0.07421875,512px fit_square_crop; Canny/LSD; RGB patch; local CLIP vision; DINOv2-small,seed42_common_screening,False
v1_5_demuth_wave,data/raw/_photo_ref/photo_sea_wave.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,wave,demuth,v2.2a seed42,1,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,seed42_only,1,2.0,0.0,1.0,2.0,1.0,P2_low_response,0.08988571166992188,0.04833699017763138,12.969552040100098,21.31892318725586,0.7899444500760029,0.27265770997668476,0.0579376220703125,-0.031948089599609375,0.6445698765012944,0.05479323863983154,0.006456248462200165,1.1335674488311,26.948816299438477,13.979264259338379,2.077852513033325,51.824259185791014,30.505335998535156,2.43090416577751,0.8991099094142958,0.10916545933829291,1.1381938430326206,0.163031348567863,-0.10962636140882176,0.5979341225370226,34.45011090768467,10.716075575508873,3.6617584228515625,-0.07559229695570206,0.021140602366301386,0.5455480813980103,0.11795866861250973,0.9671790599822998,0.8970262408256531,0.01953125,0.20035599172115326,0.48068881034851074,0.4091262072324753,0.05859375,0.015628401190042496,0.17857056856155396,0.12731057405471802,0.046875,512px fit_square_crop; Canny/LSD; RGB patch; local CLIP vision; DINOv2-small,seed42_common_screening,False
v1_5_kulhanek_snow_winter,data/raw/_photo_ref/photo_snow_winter.jpg,data/raw/kulhanek/kulhanek_e18th_street_1956.jpg,snow,kulhanek,v2.2a seed42,1,0.0,0.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,seed42_only,1,2.0,0.0,1.0,3.0,1.0,P1_low_risk_high_response,0.149017333984375,0.04147900640964508,14.084809303283691,21.249133110046387,0.8342773425706731,0.338726200280412,0.08347702026367188,-0.06554031372070312,0.5601832889617039,0.06359561532735825,0.022116608917713165,1.5332000650953492,18.29990005493164,4.215090751647949,1.2992650209801033,35.0086669921875,13.759533882141113,1.6475338928361147,0.7967194320617187,-0.037557910508954406,0.9549815048395938,0.2416098754703472,-0.0971163248100648,0.7132895987093182,31.296457659529157,18.1922184691546,16.95659637451172,-1.1511585221416085,0.10114380103693205,0.40371212363243103,0.07186617659259151,0.9717668294906616,0.8999735116958618,0.0625,0.18053826689720154,0.4890790581703186,0.41958586871623993,0.08984375,0.15817150473594666,0.3218272924423218,0.22003217786550522,0.0859375,512px fit_square_crop; Canny/LSD; RGB patch; local CLIP vision; DINOv2-small,seed42_common_screening,False
compat_G1_church,data/raw/_photo_ref/photo_lecreusois_church.jpg,data/raw/van_gogh/van_gogh_church_auvers_1890.jpg,church,van_gogh,v2.3 seed42,1,0.0,0.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,seed42_only,1,2.0,0.0,1.0,2.0,1.0,P1_low_risk_high_response,0.10466384887695312,0.03356057405471802,11.235891342163086,17.525436782836916,0.9309565189368969,0.14679699419317385,0.19707489013671875,0.09241104125976562,1.882931807413347,0.07058557122945786,0.03702499717473984,2.1032289589079536,13.113808631896973,1.8779172897338867,1.1671355865365958,22.038206100463867,4.512769317626951,1.257498250887899,0.9041080479688355,-0.026848470968061422,0.9711603384025701,0.26147582677989195,0.1146788325867181,1.7812069532963961,59.11415144620633,10.8558730826057,4.688720703125,1.1652014079913404,0.04862275882921141,0.37205857038497925,0.027840718684337858,0.9887430667877197,0.9802424609661102,0.10546875,0.528894305229187,0.5986642837524414,0.49715565145015717,0.1484375,0.21663010120391846,0.4650730490684509,0.34802599251270294,0.18359375,512px fit_square_crop; Canny/LSD; RGB patch; local CLIP vision; DINOv2-small,seed42_common_screening,False
clean_kulhanek_G1_water_lake,data/raw/_photo_ref/photo_water_lake_and_boat.jpg,data/raw/kulhanek/kulhanek_e18th_street_1956.jpg,lake,kulhanek,v2.3 seed42,1,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,seed42_only,1,2.0,0.0,0.0,0.0,0.0,P2_low_response,0.061679840087890625,0.06152842566370964,24.25459861755371,42.022977447509795,0.43999245013512844,0.4366042702141263,0.08347702026367188,0.02179718017578125,1.3533922938957264,0.06359561532735825,0.0020671896636486053,1.0335973111834043,18.29990005493164,-5.95469856262207,0.7544919766962256,35.0086669921875,-7.0143104553222955,0.8330839250007034,0.7967194320617187,0.35672698192659025,1.8107570523472254,0.2416098754703472,-0.19499439474377908,0.5533841328483872,25.757809362656815,8.597157988681897,2.7898712158203125,-0.460737343612313,0.06459804435104377,0.49406948685646057,0.13806015650469988,0.987481415271759,0.9708471894264221,0.03125,0.15492062270641327,0.4902874231338501,0.4059629291296005,0.04296875,-0.040856026113033295,0.21690648794174194,0.16061821579933167,0.09375,512px fit_square_crop; Canny/LSD; RGB patch; local CLIP vision; DINOv2-small,seed42_common_screening,False
clean_demuth_G1_water_lake,data/raw/_photo_ref/photo_water_lake_and_boat.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,lake,demuth,v2.3 seed42,1,0.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,seed42_only,1,2.0,0.0,1.0,2.0,1.0,P1_low_risk_high_response,0.061679840087890625,0.06152842566370964,24.25459861755371,42.022977447509795,0.43999245013512844,0.4366042702141263,0.0579376220703125,-0.003742218017578125,0.9393283443626693,0.05479323863983154,-0.0067351870238780975,0.890535359043802,26.948816299438477,2.6942176818847656,1.111080695432943,51.824259185791014,9.801281738281219,1.2332362515370034,0.8991099094142958,0.45911745927916736,2.043466675708107,0.163031348567863,-0.2735729216462633,0.3734075905577071,29.38698239927932,31.528352627569912,28.82616424560547,0.3172541280802294,0.05195921522449193,0.42046988010406494,0.2892294307833973,0.9956586360931396,0.9893054068088531,0.08203125,0.22487297654151917,0.5084230899810791,0.41779808700084686,0.06640625,0.03580309450626373,0.2726649343967438,0.18755614757537842,0.1171875,512px fit_square_crop; Canny/LSD; RGB patch; local CLIP vision; DINOv2-small,seed42_common_screening,False
clean_peixotto_G1_water_lake,data/raw/_photo_ref/photo_water_lake_and_boat.jpg,data/raw/peixotto/peixotto_princeton_1897.jpg,lake,peixotto,v2.3 seed42,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,seed42_only,1,1.0,0.0,0.0,0.0,0.0,P2_low_response,0.061679840087890625,0.06152842566370964,24.25459861755371,42.022977447509795,0.43999245013512844,0.4366042702141263,0.22538375854492188,0.16370391845703125,3.6540911621003156,0.047786131501197815,-0.013742294162511826,0.7766512954902854,13.586602210998535,-10.667996406555176,0.5601660297592203,23.915170288085935,-18.10780715942386,0.5690974733515248,0.7994084945999149,0.3594160444647865,1.8168686629836586,0.3479556048768831,-0.0886486653372432,0.7969587762076474,26.805135143387577,10.49709166552948,2.982311248779297,1.1652027428856124,0.00022551445153257133,0.5131598114967346,0.1257812129680085,0.9854234457015991,0.9676176011562347,0.02734375,0.20456495881080627,0.5185093879699707,0.4211881011724472,0.0390625,0.023700114339590073,0.26619952917099,0.16470826417207718,0.0703125,512px fit_square_crop; Canny/LSD; RGB patch; local CLIP vision; DINOv2-small,seed42_common_screening,False
clean_kulhanek_G1_forest,data/raw/_photo_ref/photo_forest_trees.jpg,data/raw/kulhanek/kulhanek_e18th_street_1956.jpg,forest,kulhanek,v2.3 seed42,1,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,seed42_only,1,2.0,0.0,1.0,3.0,1.0,P2_low_response,0.07459259033203125,0.036524698138237,16.797773361206055,29.034586524963395,0.5980039911605619,0.4948162655845215,0.08347702026367188,0.008884429931640625,1.1191060652551907,0.06359561532735825,0.027070917189121246,1.7411674447428553,18.29990005493164,1.502126693725586,1.0894241552987434,35.0086669921875,5.9740804672241055,1.205757380498176,0.7967194320617187,0.19871544090115678,1.3322978505804026,0.2416098754703472,-0.25320639011417434,0.4882819993496695,121.3369500175763,4.552128439355078,8.844459533691406,-0.5702387758805588,0.13109921245523198,0.5033971667289734,0.1713969482997548,0.9871317744255066,0.96991166472435,0.02734375,0.240142822265625,0.48682916164398193,0.40690624713897705,0.04296875,-0.04950582608580589,0.14766259491443634,0.09073135629296303,0.08203125,512px fit_square_crop; Canny/LSD; RGB patch; local CLIP vision; DINOv2-small,seed42_common_screening,False
clean_demuth_G1_forest,data/raw/_photo_ref/photo_forest_trees.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,forest,demuth,v2.3 seed42,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,seed42_only,1,1.0,0.0,0.0,0.0,0.0,P2_low_response,0.07459259033203125,0.036524698138237,16.797773361206055,29.034586524963395,0.5980039911605619,0.4948162655845215,0.0579376220703125,-0.01665496826171875,0.7767208755241894,0.05479323863983154,0.018268540501594543,1.5001695135837294,26.948816299438477,10.151042938232422,1.6043088402225945,51.824259185791014,22.78967266082762,1.7849146617339802,0.8991099094142958,0.3011059182537339,1.5035182418588375,0.163031348567863,-0.3317849170166585,0.3294785557933826,101.44786912662079,37.59606111680022,40.46049499511719,0.20775269581198372,0.11846038332868014,0.4699520170688629,0.13102722146025633,0.9962328672409058,0.9941807389259338,0.0859375,0.21207797527313232,0.48628735542297363,0.40164914727211,0.04296875,0.012059756554663181,0.18024106323719025,0.1275632083415985,0.08203125,512px fit_square_crop; Canny/LSD; RGB patch; local CLIP vision; DINOv2-small,seed42_common_screening,False
compat_G2_opposite_wave,data/raw/_photo_ref/photo_sea_wave.jpg,data/raw/hokusai/hokusai_great_wave_1831.jpg,wave,hokusai,v2.3 seed42,1,1.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,seed42_only,1,3.0,1.0,2.0,2.0,1.0,P3_moderate_susceptibility_high_response,0.08988571166992188,0.04833699017763138,12.969552040100098,21.31892318725586,0.7899444500760029,0.27265770997668476,0.12119293212890625,0.031307220458984375,1.348300301319866,0.050003424286842346,0.001666434109210968,1.034475338722727,14.8955659866333,1.9260139465332031,1.148502734757394,28.061481475830078,6.7425582885742195,1.3162710531554813,0.9364683348606194,0.14652388478461653,1.1854863146016394,0.13343682586125447,-0.1392208841154303,0.4893931877908928,27.643696382687665,8.68289112282193,2.4927978515625,1.3252738961211918,0.00984644583852029,0.5544217824935913,0.10971161222482997,0.9737457036972046,0.9401776194572449,0.02734375,0.6393389701843262,0.5979585647583008,0.5161353349685669,0.1015625,0.17969687283039093,0.260690301656723,0.22427459806203842,0.06640625,512px fit_square_crop; Canny/LSD; RGB patch; local CLIP vision; DINOv2-small,seed42_common_screening,False
compat_G4_sea_cliff_wave,data/raw/_photo_ref/photo_sea_coast.jpg,data/raw/hokusai/hokusai_great_wave_1831.jpg,coast,hokusai,v2.3 seed42,1,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,seed42_only,1,2.0,2.0,1.0,1.0,1.0,P4_high_initial_susceptibility,0.09285354614257812,0.024743637070059776,12.402286529541016,20.19181594848633,0.8385718525878237,0.2510957273636057,0.12119293212890625,0.028339385986328125,1.3052052093176123,0.050003424286842346,0.02525978721678257,2.020859914218001,14.8955659866333,2.493279457092285,1.201033853810226,28.061481475830078,7.869665527343749,1.3897453080704063,0.9364683348606194,0.09789648227279568,1.116741913016384,0.13343682586125447,-0.11765890150235123,0.5314181458294103,52.360942818995895,8.493398496321282,7.350181579589844,1.2689220681143722,0.013475693753092377,0.5008196234703064,0.08010304473652317,0.9965515732765198,0.9935266375541687,0.08984375,0.44960394501686096,0.489120751619339,0.42446498572826385,0.06640625,-0.013798597268760204,0.19142943620681763,0.1202198676764965,0.0859375,512px fit_square_crop; Canny/LSD; RGB patch; local CLIP vision; DINOv2-small,seed42_common_screening,False
